record_id,product_name,product_version,age,sex,coverage_type,refund_type,payment_years,sum_assured_krw,coverage_end_age,payment_frequency,monthly_premium_krw,source_id,source_pdf_page
ansim-034,무배당엔젤안심보험,2023-09,50,여자,생활비보장형(장해),해약환급금일부지급형,7,10000000,110,monthly,976600,tongyang_angel_ansim_202309_hana,3
ansim-035,무배당엔젤안심보험,2023-09,50,여자,생활비보장형(장해),해약환급금일부지급형,10,10000000,110,monthly,698900,tongyang_angel_ansim_202309_hana,3
ansim-036,무배당엔젤안심보험,2023-09,50,여자,생활비보장형(장해),해약환급금일부지급형,15,10000000,110,monthly,497100,tongyang_angel_ansim_202309_hana,3
ansim-037,무배당엔젤안심보험,2023-09,30,남자,치매보장형,표준형,5,10000000,110,monthly,642300,tongyang_angel_ansim_202309_hana,3
ansim-038,무배당엔젤안심보험,2023-09,30,남자,치매보장형,표준형,7,10000000,110,monthly,472300,tongyang_angel_ansim_202309_hana,3
ansim-039,무배당엔젤안심보험,2023-09,30,남자,치매보장형,표준형,20,10000000,110,monthly,198000,tongyang_angel_ansim_202309_hana,3
ansim-040,무배당엔젤안심보험,2023-09,40,남자,치매보장형,표준형,5,10000000,110,monthly,861800,tongyang_angel_ansim_202309_hana,3
ansim-041,무배당엔젤안심보험,2023-09,40,남자,치매보장형,표준형,7,10000000,110,monthly,633600,tongyang_angel_ansim_202309_hana,3
ansim-042,무배당엔젤안심보험,2023-09,40,남자,치매보장형,표준형,20,10000000,110,monthly,265600,tongyang_angel_ansim_202309_hana,3
ansim-043,무배당엔젤안심보험,2023-09,50,남자,치매보장형,표준형,5,10000000,110,monthly,1156300,tongyang_angel_ansim_202309_hana,3
ansim-044,무배당엔젤안심보험,2023-09,50,남자,치매보장형,표준형,7,10000000,110,monthly,850100,tongyang_angel_ansim_202309_hana,3
ansim-045,무배당엔젤안심보험,2023-09,50,남자,치매보장형,표준형,20,10000000,110,monthly,356500,tongyang_angel_ansim_202309_hana,3
ansim-046,무배당엔젤안심보험,2023-09,30,여자,치매보장형,표준형,5,10000000,110,monthly,600400,tongyang_angel_ansim_202309_hana,3
ansim-047,무배당엔젤안심보험,2023-09,30,여자,치매보장형,표준형,7,10000000,110,monthly,441500,tongyang_angel_ansim_202309_hana,3
ansim-048,무배당엔젤안심보험,2023-09,30,여자,치매보장형,표준형,20,10000000,110,monthly,185200,tongyang_angel_ansim_202309_hana,3
ansim-049,무배당엔젤안심보험,2023-09,40,여자,치매보장형,표준형,5,10000000,110,monthly,805300,tongyang_angel_ansim_202309_hana,3
ansim-050,무배당엔젤안심보험,2023-09,40,여자,치매보장형,표준형,7,10000000,110,monthly,592000,tongyang_angel_ansim_202309_hana,3
ansim-051,무배당엔젤안심보험,2023-09,40,여자,치매보장형,표준형,20,10000000,110,monthly,248300,tongyang_angel_ansim_202309_hana,3
ansim-052,무배당엔젤안심보험,2023-09,50,여자,치매보장형,표준형,5,10000000,110,monthly,1079400,tongyang_angel_ansim_202309_hana,3
ansim-053,무배당엔젤안심보험,2023-09,50,여자,치매보장형,표준형,7,10000000,110,monthly,793600,tongyang_angel_ansim_202309_hana,3
ansim-054,무배당엔젤안심보험,2023-09,50,여자,치매보장형,표준형,20,10000000,110,monthly,333100,tongyang_angel_ansim_202309_hana,3
ansim-055,무배당엔젤안심보험,2023-09,30,남자,치매보장형,해약환급금일부지급형,5,10000000,110,monthly,581000,tongyang_angel_ansim_202309_hana,3
ansim-056,무배당엔젤안심보험,2023-09,30,남자,치매보장형,해약환급금일부지급형,7,10000000,110,monthly,438100,tongyang_angel_ansim_202309_hana,3
ansim-057,무배당엔젤안심보험,2023-09,30,남자,치매보장형,해약환급금일부지급형,20,10000000,110,monthly,179300,tongyang_angel_ansim_202309_hana,3
ansim-058,무배당엔젤안심보험,2023-09,40,남자,치매보장형,해약환급금일부지급형,5,10000000,110,monthly,779500,tongyang_angel_ansim_202309_hana,3
ansim-059,무배당엔젤안심보험,2023-09,40,남자,치매보장형,해약환급금일부지급형,7,10000000,110,monthly,587800,tongyang_angel_ansim_202309_hana,3
ansim-060,무배당엔젤안심보험,2023-09,40,남자,치매보장형,해약환급금일부지급형,20,10000000,110,monthly,240400,tongyang_angel_ansim_202309_hana,3
ansim-061,무배당엔젤안심보험,2023-09,50,남자,치매보장형,해약환급금일부지급형,5,10000000,110,monthly,1046000,tongyang_angel_ansim_202309_hana,3
ansim-062,무배당엔젤안심보험,2023-09,50,남자,치매보장형,해약환급금일부지급형,7,10000000,110,monthly,788600,tongyang_angel_ansim_202309_hana,3
ansim-063,무배당엔젤안심보험,2023-09,50,남자,치매보장형,해약환급금일부지급형,20,10000000,110,monthly,322700,tongyang_angel_ansim_202309_hana,3
ansim-064,무배당엔젤안심보험,2023-09,30,여자,치매보장형,해약환급금일부지급형,5,10000000,110,monthly,543100,tongyang_angel_ansim_202309_hana,3
ansim-065,무배당엔젤안심보험,2023-09,30,여자,치매보장형,해약환급금일부지급형,7,10000000,110,monthly,409600,tongyang_angel_ansim_202309_hana,3
ansim-066,무배당엔젤안심보험,2023-09,30,여자,치매보장형,해약환급금일부지급형,20,10000000,110,monthly,167600,tongyang_angel_ansim_202309_hana,3
ansim-067,무배당엔젤안심보험,2023-09,40,여자,치매보장형,해약환급금일부지급형,5,10000000,110,monthly,728400,tongyang_angel_ansim_202309_hana,3
ansim-068,무배당엔젤안심보험,2023-09,40,여자,치매보장형,해약환급금일부지급형,7,10000000,110,monthly,549200,tongyang_angel_ansim_202309_hana,3
ansim-069,무배당엔젤안심보험,2023-09,40,여자,치매보장형,해약환급금일부지급형,20,10000000,110,monthly,224700,tongyang_angel_ansim_202309_hana,3
ansim-070,무배당엔젤안심보험,2023-09,50,여자,치매보장형,해약환급금일부지급형,5,10000000,110,monthly,976500,tongyang_angel_ansim_202309_hana,3
ansim-071,무배당엔젤안심보험,2023-09,50,여자,치매보장형,해약환급금일부지급형,7,10000000,110,monthly,736300,tongyang_angel_ansim_202309_hana,3
ansim-072,무배당엔젤안심보험,2023-09,50,여자,치매보장형,해약환급금일부지급형,20,10000000,110,monthly,301700,tongyang_angel_ansim_202309_hana,3
